DNI#INT,Nombre#STRING,CUI#INT,Escuela#STRING
72669057,"Menendez Molina Maya Aarón",20178038,Química
59080468,"Escobar Carnero Gregorio Jose Antonio",20178489,Biología
55066749,"Teixeira Fernandez Camila Luna",20194909,Matemáticas
40487907,"Martinez Gomez Teodoro Juan Bautista",20244306,Ingeniería Ambiental
31791624,"Quiroga Cruz Manuel Juan",20219949,Economía
61627623,"Iglesias Osorio Pedro Bento",20233000,Ingeniería de Sistemas
93888589,"Sanchez Olaya Felicitas Bautista",20189624,Farmacia y Bioquímica
35023013,"Martínez Laboy Juan Ignacio Sol",20217547,Química
75315980,"Salgado Castellanos Marcelo Anabel",20171741,Ingeniería Industrial
68043238,"Díaz Guerrero Luana Feliciana",20183561,Ingeniería Industrial
13095252,"Câmara Pineda José Alejandro",20181871,Educación Primaria
46326514,"Maestas Rodriguez Laura Benito",20211450,Farmacia y Bioquímica
58120194,"Herrera Gargallo Teodoro Ximena",20213122,Contabilidad
49158091,"Alvarez Moreira Felix José Antonio",20235495,Ingeniería Industrial
56331419,"García Duarte Adán Oswaldo",20199819,Ingeniería Ambiental
59960751,"Pérez Carrizo Alma Lautaro",20200093,Derecho
88179570,"Londoño Arteaga Igor Alejandra",20207721,Biología
71330754,"Sousa Zapata Beatriz Santiago",20230348,Física
48956669,"Marín Solano Nicanor Mirella",20176303,Contabilidad
36325326,"Figueroa Gaitán Néstor Óscar",20191434,Contabilidad
58804362,"Cruz Barragán Ofelia Nubia",20258545,Trabajo Social
54323398,"Rojas Benitez Adolfo Américo",20231725,Física
22225842,"Santos Arcos Yulieth Omar",20240200,Biología
82553518,"Priego Bautista Gladys Gabrielly",20216624,Educación Primaria
20933051,"Ramos Rojas Thiago Leonel Camila",20188593,Matemáticas
76978572,"Martinez Moura Vinícius María Del Carmen",20212814,Ingeniería Electrónica
30703078,"Vargas Gaona Thiago Agustin Rafaela",20194093,Administración
46801595,"Durán Andrade Saturnino Laís",20234721,Farmacia y Bioquímica
21658285,"Navarrete Sepúlveda Héctor Evelio",20193722,Ingeniería Industrial
74850652,"Duarte Luz Thiago Joaquin Bartolomé",20250936,Educación Inicial
29997989,"Garcia Rosales Otávio Rosalinda",20247050,Educación Primaria
76199048,"Pereira Pérez Emma Agustina",20242089,Farmacia y Bioquímica
90958018,"da Cruz Tovar Bruno Vitor Hugo",20217711,Administración
29918222,"Hernández Hernádez América Amelia",20191000,Psicología
12888884,"Sarmiento Rodriguez Ana Víctor",20170118,Contabilidad
57753896,"Orta Perea Sophie Deisy",20216088,Ingeniería Ambiental
48538311,"Vargas Martinez Lilia Sophia",20246886,Arquitectura
26888702,"Quiroga Roldan Magdalena Lavínia",20249640,Biología
22335053,"Borrás Herrera Luisana Heitor",20196729,Educación Inicial
98901556,"Juarez Hernández Paulina Theodoro",20205832,Sociología
13177293,"Martinez Fernandez Lucca Loreto",20192824,Biología
29059085,"Jurado Palacio Martín Fernanda",20210805,Ingeniería de Sistemas
94728939,"Muñoz Tamarit Cristian Carlos",20232955,Educación Secundaria - Matemática y Física
41606003,"Perales Medina Antonio Isabella",20246852,Educación Inicial
27989167,"Lledó Vega Andrés Alberto",20176034,Educación Inicial
57195938,"Carvajal Peralta Eugenio Geronimo",20173626,Ingeniería Eléctrica
49205524,"Domínguez Figueroa Jhonatan Norma",20218853,Ingeniería Civil
87676833,"Lopez Guzmán Nazaret Brenda",20188908,Literatura y Lingüística
42019272,"Salgado Monteiro Alejandro Ángela",20185592,Ingeniería Ambiental
98596694,"Cabrero Mora Luigi Miguela",20256191,Psicología
17228015,"Molina Raya Celia Dario",20221168,Biología
69234715,"Gómez Acosta Benjamin Pedro Lucas",20221154,Educación Primaria
86815320,"Diaz Suárez Iván Enrique",20224491,Odontología
28164355,"Valencia Vásquez Fidela Lorena",20176347,Farmacia y Bioquímica
12302083,"Sierra Vega Constanza Thiago Agustin",20183705,Ingeniería Eléctrica
87309817,"Roldan Velásquez Milagros Ana",20186195,Administración
93604979,"Fogaça Gual Cecilia Cecília",20234611,Ingeniería Eléctrica
92702028,"Moura Rincón Marcela Maria Isis",20174308,Enfermería
86106764,"Correa Lucas Jaime Germán",20230163,Historia
74971596,"Martinez Sanchez Mateo Camila",20186513,Literatura y Lingüística
96242655,"Pedrosa Leão Enrique Joaquín",20239526,Comunicación Social
53231574,"Novais Benítez Olivia Guadalupe",20243544,Educación Secundaria - Matemática y Física
57037109,"Correa Mendes Graciano Felipe",20179137,Ingeniería Eléctrica
86454737,"Pinto Guzmán Ana Júlia Irene",20231921,Comunicación Social
63799557,"Gonzalez Chavez Guillermina Jimena",20190868,Medicina Humana
79670200,"Caldeira Muñoz Otávio Joaquim",20172404,Matemáticas
65519874,"Giraldo Vazquez Olivia César",20180195,Ingeniería Industrial
15403611,"Cuervo Maidana Ángel Marcela",20188162,Educación Primaria
85819278,"Camargo Melo Anthony Gabriel Severo",20177174,Odontología
59996832,"Reynoso Villanueva João Pedro Yenny",20195218,Ingeniería Industrial
56544583,"Sarmiento Silveira Lucio Ivan",20170575,Medicina Humana
23733999,"Ballesteros Salamanca Marisol Joaquim",20171495,Sociología
51543689,"Martin Carranza Joaquim Luca",20248847,Ingeniería Electrónica
79388046,"Arcos Luna Ignacia Lorenzo",20225759,Sociología
95725263,"Rojas Pinzón Guadalupe Valentim",20187545,Ingeniería Electrónica
31349287,"Holguín Azevedo Felicitas Julieth",20185626,Ingeniería Geológica
65179280,"Casanova Ceballos Estella Bautista",20193819,Física
25262381,"Grande Toledo Nelly Martha",20203033,Educación Primaria
55374028,"Martinez Ramirez Emanuel Allana",20227468,Derecho
24906720,"Cuéllar Jiménez Severiano Débora",20174331,Contabilidad
81690951,"Estevez Segovia Viviana Olga",20194157,Economía
73895572,"Ribas Juarez Júlia Karla",20248353,Literatura y Lingüística
